Date,Price
11/11/21,"$2,934.96 "
11/12/21,"$2,992.91 "
11/15/21,"$2,987.76 "
11/16/21,"$2,981.52 "
11/17/21,"$2,981.24 "
11/18/21,"$3,014.18 "
11/19/21,"$2,999.05 "
11/22/21,"$2,941.57 "
11/23/21,"$2,935.14 "
11/24/21,"$2,934.35 "
11/26/21,"$2,856.12 "
11/29/21,"$2,922.28 "
11/30/21,"$2,849.04 "
12/1/21,"$2,832.36 "
12/2/21,"$2,875.53 "
12/3/21,"$2,850.41 "
12/6/21,"$2,875.93 "
12/7/21,"$2,960.73 "
12/8/21,"$2,974.41 "
12/9/21,"$2,962.12 "
